2 , 10 , CRPS, SNN, known,  0.4135421 
2 , 20 , RMSE, SNN, known,  0.7100404 
2 , 20 , NLL, SNN, known,  -0.8359322 
2 , 20 , CRPS, SNN, known,  0.387813 
2 , 30 , RMSE, SNN, known,  0.6711344 
2 , 30 , NLL, SNN, known,  -0.8515838 
2 , 30 , CRPS, SNN, known,  0.3621133 
2 , 40 , RMSE, SNN, known,  0.6734851 
2 , 40 , NLL, SNN, known,  -0.8830175 
2 , 40 , CRPS, SNN, known,  0.3617859 
2 , 50 , RMSE, SNN, known,  0.6774987 
2 , 50 , NLL, SNN, known,  -0.8453596 
2 , 50 , CRPS, SNN, known,  0.3645337 
2 , 10 , RMSE, SNN, known,  0.6552791 
2 , 10 , NLL, SNN, known,  -0.8601512 
2 , 10 , CRPS, SNN, known,  0.3525691 
2 , 20 , RMSE, SNN, known,  0.6017951 
2 , 20 , NLL, SNN, known,  -1.007253 
2 , 20 , CRPS, SNN, known,  0.3205512 
2 , 30 , RMSE, SNN, known,  0.5473542 
2 , 30 , NLL, SNN, known,  -1.014587 
2 , 30 , CRPS, SNN, known,  0.2898354 
2 , 40 , RMSE, SNN, known,  0.5367496 
2 , 40 , NLL, SNN, known,  -1.05275 
2 , 40 , CRPS, SNN, known,  0.2831851 
2 , 50 , RMSE, SNN, known,  0.5469331 
2 , 50 , NLL, SNN, known,  -1.026894 
2 , 50 , CRPS, SNN, known,  0.2864825 
2 , 10 , RMSE, SNN, known,  0.6918694 
2 , 10 , NLL, SNN, known,  -0.7634519 
2 , 10 , CRPS, SNN, known,  0.3746618 
2 , 20 , RMSE, SNN, known,  0.6583032 
2 , 20 , NLL, SNN, known,  -0.8685253 
2 , 20 , CRPS, SNN, known,  0.3437529 
2 , 30 , RMSE, SNN, known,  0.6247276 
2 , 30 , NLL, SNN, known,  -0.8841901 
2 , 30 , CRPS, SNN, known,  0.3268896 
2 , 40 , RMSE, SNN, known,  0.6056199 
2 , 40 , NLL, SNN, known,  -0.9218728 
2 , 40 , CRPS, SNN, known,  0.3144214 
2 , 50 , RMSE, SNN, known,  0.5996407 
2 , 50 , NLL, SNN, known,  -0.978381 
2 , 50 , CRPS, SNN, known,  0.3119386 
2 , 10 , RMSE, SNN, known,  0.6629649 
2 , 10 , NLL, SNN, known,  -0.7458587 
